==============================================================================
==============================================================================
Sun. May. 11 2014                  LANDSAT 5                       Time: 13:15
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101405103993_00002                          Path / Row - 121 / 34
Reference Image: L51HAJ1092317010100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210344170   37.03780    119.08034     0.03     -0.04     0.05     1 
1210344171   37.03719    119.11506     0.08     -0.04     0.08     1 
1210344172   37.03657    119.14978     0.05      0.05     0.08     1 
1210344174   37.03529    119.21922     0.20     -0.01     0.20     1 
1210344175   37.03463    119.25394    -0.11      0.14     0.18     1 
1210344176   37.03397    119.28866    -0.29      0.06     0.29     1 
1210344179   37.03191    119.39280    -0.08     -0.09     0.12     1 
1210344180   37.03121    119.42751     0.04      0.00     0.04     1 
1210344181   37.03049    119.46222     0.15     -0.08     0.16     1 
1210344182   37.02977    119.49693    -0.01     -0.12     0.12     1 
1210344183   37.02903    119.53164     0.24     -0.03     0.24     1 
1210344185   37.02753    119.60105    -0.15      0.10     0.19     1 
1210344245   37.01267    119.07965    -0.18      0.16     0.24     1 
1210344246   37.01206    119.11437    -0.05      0.01     0.05     1 
1210344247   37.01143    119.14907     0.01      0.12     0.12     1 
1210344248   37.01080    119.18378    -0.13     -0.17     0.22     1 
1210344249   37.01016    119.21849    -0.02      0.04     0.04     1 
1210344250   37.00950    119.25320     0.12     -0.03     0.12     1 
1210344252   37.00816    119.32261    -0.02     -0.03     0.04     1 
1210344253   37.00748    119.35731     0.07      0.05     0.09     1 
1210344255   37.00608    119.42671    -0.14      0.09     0.17     1 
1210344257   37.00464    119.49611    -0.00      0.05     0.05     1 
1210344260   37.00240    119.60020    -0.10     -0.02     0.10     1 
1210344261   37.00164    119.63489     0.02     -0.02     0.03     1 
1210344262   37.00086    119.66958    -0.12      0.01     0.12     1 
1210344282   37.00332    117.75978    -0.06      0.17     0.18     1 
1210344322   36.98630    119.14837     0.40      0.09     0.41     1 
1210344323   36.98567    119.18306     0.18      0.05     0.19     1 
1210344326   36.98371    119.28715     0.14      0.05     0.15     1 
1210344329   36.98166    119.39122     0.05      0.08     0.09     1 
1210344330   36.98095    119.42591    -0.23     -0.20     0.30     1 
1210344335   36.97728    119.59934     0.00      0.04     0.04     1 
1210344364   36.97637    118.00253     0.03     -0.20     0.20     1 
1210344394   36.96301    119.04360     0.19     -0.09     0.21     1 
1210344395   36.96240    119.07828     0.04      0.01     0.04     1 
1210344401   36.95858    119.28640     0.05      0.02     0.05     1 
1210344402   36.95790    119.32108    -0.03      0.07     0.07     1 
1210344407   36.95439    119.49447     0.04      0.09     0.10     1 
1210344408   36.95365    119.52914     0.04      0.06     0.07     1 
1210344469   36.93787    119.04292     0.19     -0.09     0.21     1 
1210344470   36.93727    119.07760     0.12     -0.05     0.13     1 
1210344473   36.93541    119.18163     0.01     -0.00     0.01     1 
1210344485   36.92703    119.59763     0.05      0.18     0.19     1 
1210344525   36.92224    118.38342     0.04      0.10     0.11     1 
1210344543   36.91333    119.00759     0.17      0.12     0.21     1 
1210344544   36.91274    119.04225    -0.03      0.01     0.03     1 
1210344548   36.91027    119.18091     0.04     -0.15     0.15     1 
1210344549   36.90963    119.21558    -0.09     -0.06     0.11     1 
1210344550   36.90898    119.25024    -0.06     -0.10     0.12     1 
1210344551   36.90832    119.28490     0.14      0.01     0.14     1 
1210344552   36.90765    119.31955     0.07     -0.13     0.14     1 
1210344560   36.90191    119.59678     0.13      0.10     0.17     1 
1210344619   36.88760    119.04158     0.14      0.03     0.14     1 
1210344620   36.88700    119.07624    -0.03     -0.01     0.03     1 
1210344625   36.88385    119.24950     0.01     -0.02     0.02     1 
1210344635   36.87678    119.59593     0.21      0.08     0.23     1 
1210344670   36.87384    118.20920    -0.38     -0.17     0.42     1 
1210344685   36.86742    118.72908    -0.07     -0.15     0.17     1 
1210344704   36.85601    119.38730    -0.26     -0.10     0.28     1 
1210344709   36.85241    119.56045     0.06      0.04     0.07     1 
1210344710   36.85166    119.59508     0.10     -0.07     0.12     1 
