X, Y
647207.000000,4223697.000000
647237.000000,4223697.000000
647267.000000,4223697.000000
647297.000000,4223697.000000
647327.000000,4223697.000000
647357.000000,4223697.000000
647387.000000,4223697.000000
647417.000000,4223697.000000
647447.000000,4223697.000000
647477.000000,4223697.000000
647507.000000,4223697.000000
647537.000000,4223697.000000
647567.000000,4223697.000000
647597.000000,4223697.000000
647627.000000,4223727.000000
647657.000000,4223727.000000
647687.000000,4223727.000000
647717.000000,4223727.000000
647747.000000,4223727.000000
647777.000000,4223727.000000
647807.000000,4223727.000000
647837.000000,4223727.000000
647867.000000,4223727.000000
647897.000000,4223727.000000
647927.000000,4223727.000000
647957.000000,4223727.000000
647987.000000,4223757.000000
648017.000000,4223757.000000
648047.000000,4223757.000000
648077.000000,4223787.000000
648107.000000,4223787.000000
648137.000000,4223787.000000
648167.000000,4223787.000000
648197.000000,4223787.000000
648227.000000,4223787.000000
648257.000000,4223817.000000
648287.000000,4223817.000000
648317.000000,4223847.000000
648347.000000,4223877.000000
648377.000000,4223877.000000
648407.000000,4223877.000000
648437.000000,4223877.000000
648467.000000,4223877.000000
648497.000000,4223877.000000
648527.000000,4223877.000000
648557.000000,4223877.000000
648587.000000,4223877.000000
648617.000000,4223877.000000
648647.000000,4223847.000000
648677.000000,4223847.000000
648707.000000,4223847.000000
648737.000000,4223847.000000
648767.000000,4223847.000000
648797.000000,4223847.000000
648827.000000,4223847.000000
648857.000000,4223847.000000
648887.000000,4223847.000000
648917.000000,4223847.000000
648947.000000,4223847.000000
648977.000000,4223847.000000
649007.000000,4223817.000000
649037.000000,4223817.000000
649067.000000,4223787.000000
649097.000000,4223787.000000
649127.000000,4223787.000000
649157.000000,4223787.000000
649187.000000,4223787.000000
649217.000000,4223787.000000
649247.000000,4223787.000000
649277.000000,4223757.000000
649307.000000,4223757.000000
649337.000000,4223757.000000
649367.000000,4223757.000000
649397.000000,4223757.000000
649427.000000,4223727.000000
649457.000000,4223727.000000
649457.000000,4223697.000000
649487.000000,4223697.000000
649487.000000,4223667.000000
649517.000000,4223667.000000
649517.000000,4223637.000000
649547.000000,4223637.000000
649547.000000,4223607.000000
649577.000000,4223607.000000
649577.000000,4223577.000000
649607.000000,4223577.000000
649607.000000,4223547.000000
649637.000000,4223547.000000
649637.000000,4223517.000000
649667.000000,4223517.000000
649667.000000,4223487.000000
649697.000000,4223487.000000
649697.000000,4223457.000000
649727.000000,4223457.000000
649757.000000,4223427.000000
649787.000000,4223427.000000
649817.000000,4223427.000000
649847.000000,4223427.000000
649877.000000,4223427.000000
649907.000000,4223427.000000
